location,currency,month,exchange_rate_to_INR,accommodation_type,travel_purpose,traveler_type,tags,average_days,hotel_cost_on_season_INR,hotel_cost_off_season_INR,hotel_cost_on_season_local,hotel_cost_off_season_local,transport_options,transport_cost_on_season_INR,transport_cost_off_season_INR,transport_cost_on_season_local,transport_cost_off_season_local,extra_expenses_INR,extra_expenses_local,total_budget_on_season_INR,total_budget_off_season_INR
New York,USD,December,83.0,Hotel,Pilgrimage,Business Traveler,romantic,13,21645.6,16234.2,260.79,195.59,Car Rental,5764.8,4323.6,69.46,52.09,6438.35,77.57,33848.75,26996.15
Sydney,AUD,February,55.0,Resort,Leisure,Backpacker,"adventure, cultural, solo",15,10335.15,10943.1,187.91,198.97,Flight,6352.05,6725.7,115.49,122.29,7569.71,137.63,24256.91,25238.51
Paris,EUR,November,90.0,Hotel,Leisure,Business Traveler,"cultural, solo, adventure",10,10218.0,9196.2,113.53,102.18,Bus,1847.0,1662.3,20.52,18.47,3585.66,39.84,15650.66,14444.16
Istanbul,EUR,June,90.0,Resort,Leisure,Budget Traveler,"family, solo",7,19280.4,14460.3,214.23,160.67,Car Rental,14085.6,10564.2,156.51,117.38,6721.84,74.69,40087.84,31746.34
Barcelona,EUR,October,90.0,Hotel,Leisure,Luxury Traveler,"family, romantic",11,5305.0,4774.5,58.94,53.05,Flight,7843.0,7058.7,87.14,78.43,3595.9,39.95,16743.9,15429.1
New York,USD,September,83.0,Airbnb,Business,Budget Traveler,adventure,14,10941.2,11584.8,131.82,139.58,Car Rental,7397.55,7832.7,89.13,94.37,5464.67,65.84,23803.42,24882.17
Sydney,AUD,February,55.0,Hostel,Leisure,Business Traveler,"cultural, romantic, adventure",4,5698.4,6033.6,103.61,109.7,Bus,12000.3,12706.2,218.19,231.02,5419.38,98.53,23118.08,24159.18
Singapore,SGD,January,62.0,Resort,Leisure,Family Traveler,"romantic, family",14,16456.85,17424.9,265.43,281.05,Train,5343.95,5658.3,86.19,91.26,1889.15,30.47,23689.95,24972.35
New York,USD,April,83.0,Resort,Pilgrimage,Backpacker,"adventure, cultural, solo",4,16933.0,15239.7,204.01,183.61,Flight,8321.0,7488.9,100.25,90.23,2679.78,32.29,27933.78,25408.38
New York,USD,May,83.0,Hotel,Leisure,Backpacker,solo,4,23925.6,17944.2,288.26,216.2,Bus,15758.4,11818.8,189.86,142.4,7577.28,91.29,47261.28,37340.28
Rome,EUR,June,90.0,Airbnb,Pilgrimage,Budget Traveler,adventure,6,18532.8,13899.6,205.92,154.44,Flight,2686.8,2015.1,29.85,22.39,2341.76,26.02,23561.36,18256.46
Istanbul,EUR,March,90.0,Resort,Adventure,Family Traveler,"romantic, cultural, solo",5,15471.0,13923.9,171.9,154.71,Train,10086.0,9077.4,112.07,100.86,6608.78,73.43,32165.78,29610.08
New York,USD,October,83.0,Resort,Pilgrimage,Backpacker,cultural,14,17906.0,16115.4,215.73,194.16,Train,10932.0,9838.8,131.71,118.54,7893.57,95.1,36731.57,33847.77
Barcelona,EUR,November,90.0,Resort,Leisure,Family Traveler,"cultural, family",14,12541.0,11286.9,139.34,125.41,Flight,6019.0,5417.1,66.88,60.19,5056.7,56.19,23616.7,21760.7
Bangkok,THB,April,2.4,Airbnb,Pilgrimage,Business Traveler,"adventure, cultural, solo",14,6681.0,6012.9,2783.75,2505.38,Train,7309.0,6578.1,3045.42,2740.88,6417.59,2674.0,20407.59,19008.59
Goa,INR,November,1.0,Airbnb,Leisure,Backpacker,family,6,5500.0,4950.0,5500.0,4950.0,Car Rental,9290.0,8361.0,9290.0,8361.0,3506.27,3506.27,18296.27,16817.27
Manali,INR,May,1.0,Resort,Pilgrimage,Business Traveler,"romantic, family",9,7154.4,5365.8,7154.4,5365.8,Flight,5750.4,4312.8,5750.4,4312.8,1881.09,1881.09,14785.89,11559.69
Jaipur,INR,March,1.0,Airbnb,Pilgrimage,Budget Traveler,"adventure, family",14,16676.0,15008.4,16676.0,15008.4,Flight,10931.0,9837.9,10931.0,9837.9,7043.95,7043.95,34650.95,31890.25
Tokyo,JPY,March,0.55,Hotel,Pilgrimage,Budget Traveler,"romantic, family, cultural",14,17024.0,15321.6,30952.73,27857.45,Car Rental,4076.0,3668.4,7410.91,6669.82,5786.79,10521.44,26886.79,24776.79
Rome,EUR,July,90.0,Resort,Leisure,Backpacker,"family, solo",10,6439.0,5795.1,71.54,64.39,Train,4251.0,3825.9,47.23,42.51,7208.27,80.09,17898.27,16829.27
Bangkok,THB,September,2.4,Resort,Business,Business Traveler,romantic,10,10305.4,10911.6,4293.92,4546.5,Car Rental,7137.45,7557.3,2973.94,3148.88,2992.17,1246.74,20435.02,21461.07
Manali,INR,November,1.0,Hostel,Leisure,Budget Traveler,"romantic, solo",3,8690.0,7821.0,8690.0,7821.0,Car Rental,8640.0,7776.0,8640.0,7776.0,5948.17,5948.17,23278.17,21545.17
London,GBP,May,105.0,Resort,Pilgrimage,Luxury Traveler,solo,10,3560.4,2670.3,33.91,25.43,Car Rental,15592.8,11694.6,148.5,111.38,5775.7,55.01,24928.9,20140.6
Barcelona,EUR,July,90.0,Resort,Business,Luxury Traveler,"family, solo",3,12583.0,11324.7,139.81,125.83,Bus,6193.0,5573.7,68.81,61.93,6149.08,68.32,24925.08,23047.48
Bangkok,THB,April,2.4,Hotel,Leisure,Business Traveler,"solo, romantic, adventure",9,7461.0,6714.9,3108.75,2797.88,Train,9701.0,8730.9,4042.08,3637.88,7693.65,3205.69,24855.65,23139.45
Bangkok,THB,August,2.4,Airbnb,Adventure,Business Traveler,"cultural, adventure, family",6,9351.0,8415.9,3896.25,3506.62,Bus,4560.0,4104.0,1900.0,1710.0,1900.53,791.89,15811.53,14420.43
Leh,INR,July,1.0,Airbnb,Adventure,Backpacker,"romantic, adventure, solo",3,5611.0,5049.9,5611.0,5049.9,Train,6665.0,5998.5,6665.0,5998.5,1952.47,1952.47,14228.47,13000.87
Manali,INR,September,1.0,Airbnb,Business,Budget Traveler,family,15,12798.45,13551.3,12798.45,13551.3,Car Rental,8677.65,9188.1,8677.65,9188.1,4801.26,4801.26,26277.36,27540.66
Bangkok,THB,September,2.4,Resort,Adventure,Business Traveler,solo,9,12761.05,13511.7,5317.1,5629.88,Train,9584.6,10148.4,3993.58,4228.5,2118.84,882.85,24464.49,25778.94
Dubai,AED,February,22.5,Hostel,Adventure,Family Traveler,"romantic, solo",15,11899.15,12599.1,528.85,559.96,Car Rental,2491.35,2637.9,110.73,117.24,5211.91,231.64,19602.41,20448.91
Bangkok,THB,April,2.4,Hotel,Pilgrimage,Backpacker,"cultural, solo",15,4192.0,3772.8,1746.67,1572.0,Car Rental,4328.0,3895.2,1803.33,1623.0,4435.74,1848.22,12955.74,12103.74
Rishikesh,INR,February,1.0,Hostel,Adventure,Backpacker,"adventure, solo, family",15,7196.95,7620.3,7196.95,7620.3,Car Rental,5018.4,5313.6,5018.4,5313.6,4052.25,4052.25,16267.6,16986.15
London,GBP,March,105.0,Hotel,Leisure,Business Traveler,cultural,13,6624.0,5961.6,63.09,56.78,Flight,3589.0,3230.1,34.18,30.76,8398.72,79.99,18611.72,17590.42
New York,USD,September,83.0,Airbnb,Pilgrimage,Family Traveler,"cultural, romantic, solo",14,4711.55,4988.7,56.77,60.1,Train,3611.65,3824.1,43.51,46.07,5707.86,68.77,14031.06,14520.66
Tokyo,JPY,September,0.55,Hotel,Adventure,Business Traveler,"family, solo, romantic",9,5025.2,5320.8,9136.73,9674.18,Flight,12547.7,13285.8,22814.0,24156.0,2118.47,3851.76,19691.37,20725.07
Cape Town,ZAR,September,4.5,Hotel,Leisure,Family Traveler,cultural,13,2031.5,2151.0,451.44,478.0,Bus,5865.85,6210.9,1303.52,1380.2,8638.3,1919.62,16535.65,17000.2
Paris,EUR,April,90.0,Resort,Adventure,Budget Traveler,"solo, cultural, family",3,11260.0,10134.0,125.11,112.6,Train,13171.0,11853.9,146.34,131.71,7622.87,84.7,32053.87,29610.77
Cape Town,ZAR,December,4.5,Hotel,Pilgrimage,Luxury Traveler,family,12,19390.8,14543.1,4309.07,3231.8,Flight,17731.2,13298.4,3940.27,2955.2,7706.71,1712.6,44828.71,35548.21
Barcelona,EUR,October,90.0,Resort,Pilgrimage,Budget Traveler,romantic,5,11943.0,10748.7,132.7,119.43,Car Rental,8348.0,7513.2,92.76,83.48,1288.75,14.32,21579.75,19550.65
New York,USD,March,83.0,Hostel,Pilgrimage,Backpacker,"cultural, family, adventure",14,18571.0,16713.9,223.75,201.37,Flight,3380.0,3042.0,40.72,36.65,2302.33,27.74,24253.33,22058.23
New York,USD,October,83.0,Resort,Business,Family Traveler,"romantic, solo, adventure",15,18687.0,16818.3,225.14,202.63,Flight,14993.0,13493.7,180.64,162.57,5966.02,71.88,39646.02,36278.02
Goa,INR,April,1.0,Hotel,Pilgrimage,Backpacker,"romantic, adventure",7,9343.0,8408.7,9343.0,8408.7,Car Rental,2794.0,2514.6,2794.0,2514.6,7269.69,7269.69,19406.69,18192.99
Dubai,AED,August,22.5,Hostel,Adventure,Family Traveler,"romantic, solo, family",6,18786.0,16907.4,834.93,751.44,Car Rental,11850.0,10665.0,526.67,474.0,1619.13,71.96,32255.13,29191.53
Jaipur,INR,July,1.0,Hostel,Leisure,Family Traveler,"family, cultural",11,10869.0,9782.1,10869.0,9782.1,Train,7262.0,6535.8,7262.0,6535.8,1292.73,1292.73,19423.73,17610.63
Istanbul,EUR,March,90.0,Hotel,Adventure,Budget Traveler,adventure,10,10887.0,9798.3,120.97,108.87,Train,13418.0,12076.2,149.09,134.18,5399.51,59.99,29704.51,27274.01
Dubai,AED,August,22.5,Hostel,Leisure,Budget Traveler,"romantic, family, cultural",9,10234.0,9210.6,454.84,409.36,Bus,6752.0,6076.8,300.09,270.08,5040.71,224.03,22026.71,20328.11
Cape Town,ZAR,April,4.5,Hotel,Leisure,Business Traveler,"cultural, romantic, adventure",7,14091.0,12681.9,3131.33,2818.2,Train,5944.0,5349.6,1320.89,1188.8,6610.35,1468.97,26645.35,24641.85
Barcelona,EUR,October,90.0,Resort,Business,Backpacker,"cultural, adventure, solo",12,14552.0,13096.8,161.69,145.52,Car Rental,7609.0,6848.1,84.54,76.09,3869.62,43.0,26030.62,23814.52
Leh,INR,April,1.0,Hotel,Adventure,Business Traveler,"family, romantic",4,15576.0,14018.4,15576.0,14018.4,Train,10328.0,9295.2,10328.0,9295.2,3111.56,3111.56,29015.56,26425.16
Bangkok,THB,November,2.4,Hotel,Pilgrimage,Budget Traveler,family,14,17410.0,15669.0,7254.17,6528.75,Flight,10691.0,9621.9,4454.58,4009.12,8158.29,3399.29,36259.29,33449.19
Istanbul,EUR,February,90.0,Airbnb,Pilgrimage,Budget Traveler,adventure,12,2444.6,2588.4,27.16,28.76,Bus,7130.65,7550.1,79.23,83.89,1979.87,22.0,11555.12,12118.37
London,GBP,June,105.0,Hostel,Business,Luxury Traveler,"solo, cultural, romantic",13,10796.4,8097.3,102.82,77.12,Train,7256.4,5442.3,69.11,51.83,1704.26,16.23,19757.06,15243.86
Jaipur,INR,September,1.0,Resort,Pilgrimage,Family Traveler,"solo, adventure, family",9,13709.65,14516.1,13709.65,14516.1,Bus,10507.7,11125.8,10507.7,11125.8,7796.08,7796.08,32013.43,33437.98
Istanbul,EUR,November,90.0,Hostel,Business,Budget Traveler,"solo, romantic, cultural",14,6448.0,5803.2,71.64,64.48,Bus,13806.0,12425.4,153.4,138.06,1544.44,17.16,21798.44,19773.04
Rome,EUR,September,90.0,Airbnb,Business,Family Traveler,"adventure, cultural",15,6529.7,6913.8,72.55,76.82,Train,6765.15,7163.1,75.17,79.59,1050.87,11.68,14345.72,15127.77
Tokyo,JPY,March,0.55,Airbnb,Adventure,Family Traveler,family,12,6366.0,5729.4,11574.55,10417.09,Train,6816.0,6134.4,12392.73,11153.45,2584.16,4698.47,15766.16,14447.96
Istanbul,EUR,August,90.0,Hostel,Adventure,Backpacker,"romantic, solo",10,16778.0,15100.2,186.42,167.78,Flight,14115.0,12703.5,156.83,141.15,2464.22,27.38,33357.22,30267.92
Rishikesh,INR,February,1.0,Hostel,Pilgrimage,Budget Traveler,adventure,7,4479.5,4743.0,4479.5,4743.0,Train,5201.15,5507.1,5201.15,5507.1,5238.74,5238.74,14919.39,15488.84
Sydney,AUD,August,55.0,Hostel,Adventure,Budget Traveler,"romantic, adventure, family",5,19760.0,17784.0,359.27,323.35,Bus,9782.0,8803.8,177.85,160.07,3653.14,66.42,33195.14,30240.94
Rome,EUR,August,90.0,Airbnb,Business,Luxury Traveler,"cultural, family, romantic",14,3834.0,3450.6,42.6,38.34,Train,7780.0,7002.0,86.44,77.8,6237.29,69.3,17851.29,16689.89
Manali,INR,March,1.0,Resort,Leisure,Business Traveler,"romantic, adventure, cultural",4,12395.0,11155.5,12395.0,11155.5,Car Rental,6587.0,5928.3,6587.0,5928.3,4641.41,4641.41,23623.41,21725.21
Cape Town,ZAR,October,4.5,Airbnb,Adventure,Budget Traveler,cultural,6,18933.0,17039.7,4207.33,3786.6,Bus,14400.0,12960.0,3200.0,2880.0,4757.39,1057.2,38090.39,34757.09
Leh,INR,December,1.0,Airbnb,Leisure,Business Traveler,family,11,4941.6,3706.2,4941.6,3706.2,Flight,4056.0,3042.0,4056.0,3042.0,6609.88,6609.88,15607.48,13358.08
New York,USD,August,83.0,Airbnb,Pilgrimage,Business Traveler,"family, adventure, cultural",12,9004.0,8103.6,108.48,97.63,Car Rental,9599.0,8639.1,115.65,104.09,4914.64,59.21,23517.64,21657.34
Kerala,INR,December,1.0,Hotel,Leisure,Luxury Traveler,solo,13,21222.0,15916.5,21222.0,15916.5,Flight,12691.2,9518.4,12691.2,9518.4,5711.02,5711.02,39624.22,31145.92
Jaipur,INR,December,1.0,Hostel,Leisure,Family Traveler,adventure,9,12446.4,9334.8,12446.4,9334.8,Bus,5296.8,3972.6,5296.8,3972.6,5305.27,5305.27,23048.47,18612.67
Bangkok,THB,August,2.4,Resort,Leisure,Family Traveler,cultural,4,12595.0,11335.5,5247.92,4723.12,Car Rental,11103.0,9992.7,4626.25,4163.63,3599.24,1499.68,27297.24,24927.44
Goa,INR,November,1.0,Hostel,Pilgrimage,Backpacker,"adventure, family, cultural",14,18752.0,16876.8,18752.0,16876.8,Train,1629.0,1466.1,1629.0,1466.1,964.47,964.47,21345.47,19307.37
Tokyo,JPY,December,0.55,Hotel,Leisure,Family Traveler,"cultural, family",14,17895.6,13421.7,32537.45,24403.09,Bus,10126.8,7595.1,18412.36,13809.27,3986.02,7247.31,32008.42,25002.82
Rome,EUR,February,90.0,Airbnb,Pilgrimage,Luxury Traveler,"family, cultural",8,14643.8,15505.2,162.71,172.28,Train,3437.4,3639.6,38.19,40.44,6468.02,71.87,24549.22,25612.82
Rome,EUR,June,90.0,Resort,Leisure,Backpacker,"family, adventure, cultural",10,19995.6,14996.7,222.17,166.63,Bus,15165.6,11374.2,168.51,126.38,4909.67,54.55,40070.87,31280.57
Paris,EUR,November,90.0,Resort,Leisure,Business Traveler,"solo, romantic, cultural",14,4280.0,3852.0,47.56,42.8,Car Rental,1648.0,1483.2,18.31,16.48,3554.56,39.5,9482.56,8889.76
Rishikesh,INR,September,1.0,Resort,Pilgrimage,Family Traveler,"solo, adventure, family",4,2530.45,2679.3,2530.45,2679.3,Car Rental,12255.3,12976.2,12255.3,12976.2,4767.94,4767.94,19553.69,20423.44
Istanbul,EUR,November,90.0,Airbnb,Adventure,Budget Traveler,"solo, family",15,10944.0,9849.6,121.6,109.44,Train,9275.0,8347.5,103.06,92.75,2395.49,26.62,22614.49,20592.59
Singapore,SGD,July,62.0,Airbnb,Pilgrimage,Budget Traveler,family,6,18398.0,16558.2,296.74,267.07,Train,12255.0,11029.5,197.66,177.9,8063.41,130.06,38716.41,35651.11
Dubai,AED,December,22.5,Hotel,Leisure,Business Traveler,"family, romantic",11,8077.2,6057.9,358.99,269.24,Car Rental,8924.4,6693.3,396.64,297.48,3629.0,161.29,20630.6,16380.2
Manali,INR,November,1.0,Airbnb,Leisure,Family Traveler,"adventure, cultural",14,18358.0,16522.2,18358.0,16522.2,Car Rental,4381.0,3942.9,4381.0,3942.9,4989.49,4989.49,27728.49,25454.59
Rishikesh,INR,November,1.0,Hostel,Pilgrimage,Family Traveler,adventure,12,14415.0,12973.5,14415.0,12973.5,Flight,2944.0,2649.6,2944.0,2649.6,3255.82,3255.82,20614.82,18878.92
Rishikesh,INR,August,1.0,Airbnb,Adventure,Family Traveler,cultural,7,12936.0,11642.4,12936.0,11642.4,Flight,7962.0,7165.8,7962.0,7165.8,6389.71,6389.71,27287.71,25197.91
Singapore,SGD,July,62.0,Hotel,Leisure,Business Traveler,solo,13,9133.0,8219.7,147.31,132.58,Bus,1770.0,1593.0,28.55,25.69,1473.05,23.76,12376.05,11285.75
Singapore,SGD,May,62.0,Hotel,Adventure,Budget Traveler,"cultural, solo",10,4620.0,3465.0,74.52,55.89,Train,10555.2,7916.4,170.25,127.68,5564.53,89.75,20739.73,16945.93
Paris,EUR,December,90.0,Resort,Adventure,Family Traveler,"romantic, family",13,21133.2,15849.9,234.81,176.11,Train,16518.0,12388.5,183.53,137.65,6336.78,70.41,43987.98,34575.18
Sydney,AUD,July,55.0,Resort,Business,Backpacker,"cultural, solo",14,16439.0,14795.1,298.89,269.0,Flight,9049.0,8144.1,164.53,148.07,4415.23,80.28,29903.23,27354.43
Singapore,SGD,October,62.0,Hostel,Business,Business Traveler,solo,14,5148.0,4633.2,83.03,74.73,Train,6835.0,6151.5,110.24,99.22,3428.33,55.3,15411.33,14213.03
Jaipur,INR,April,1.0,Hotel,Pilgrimage,Backpacker,"solo, family",12,6216.0,5594.4,6216.0,5594.4,Train,7907.0,7116.3,7907.0,7116.3,4856.55,4856.55,18979.55,17567.25
Sydney,AUD,September,55.0,Airbnb,Adventure,Luxury Traveler,"cultural, solo, romantic",10,9696.8,10267.2,176.31,186.68,Train,2329.0,2466.0,42.35,44.84,3931.82,71.49,15957.62,16665.02
Kerala,INR,December,1.0,Hostel,Business,Business Traveler,"romantic, cultural, adventure",15,16287.6,12215.7,16287.6,12215.7,Train,17458.8,13094.1,17458.8,13094.1,4023.77,4023.77,37770.17,29333.57
Dubai,AED,June,22.5,Hostel,Business,Budget Traveler,"family, solo",8,7497.6,5623.2,333.23,249.92,Train,15381.6,11536.2,683.63,512.72,5540.77,246.26,28419.97,22700.17
London,GBP,April,105.0,Hostel,Pilgrimage,Business Traveler,romantic,10,13692.0,12322.8,130.4,117.36,Bus,3854.0,3468.6,36.7,33.03,5478.59,52.18,23024.59,21269.99
Tokyo,JPY,August,0.55,Airbnb,Leisure,Business Traveler,"adventure, romantic",13,7133.0,6419.7,12969.09,11672.18,Bus,8226.0,7403.4,14956.36,13460.73,5108.97,9289.04,20467.97,18932.07
Rome,EUR,November,90.0,Hotel,Adventure,Budget Traveler,"romantic, solo, cultural",4,6944.0,6249.6,77.16,69.44,Car Rental,10018.0,9016.2,111.31,100.18,3165.43,35.17,20127.43,18431.23
Singapore,SGD,December,62.0,Hotel,Leisure,Backpacker,"solo, cultural, family",15,14608.8,10956.6,235.63,176.72,Flight,17898.0,13423.5,288.68,216.51,3504.59,56.53,36011.39,27884.69
Sydney,AUD,November,55.0,Hotel,Pilgrimage,Backpacker,"adventure, cultural",10,15777.0,14199.3,286.85,258.17,Train,9470.0,8523.0,172.18,154.96,6226.56,113.21,31473.56,28948.86
Sydney,AUD,December,55.0,Hostel,Adventure,Backpacker,"romantic, family",6,23949.6,17962.2,435.45,326.59,Train,10190.4,7642.8,185.28,138.96,4356.8,79.21,38496.8,29961.8
Rome,EUR,August,90.0,Hostel,Business,Luxury Traveler,"cultural, family",9,11060.0,9954.0,122.89,110.6,Car Rental,13685.0,12316.5,152.06,136.85,6242.63,69.36,30987.63,28513.13
Cape Town,ZAR,February,4.5,Resort,Adventure,Backpacker,cultural,5,3768.05,3989.7,837.34,886.6,Train,6078.35,6435.9,1350.74,1430.2,947.49,210.55,10793.89,11373.09
Bangkok,THB,January,2.4,Hostel,Leisure,Backpacker,"solo, romantic, family",12,10699.8,11329.2,4458.25,4720.5,Car Rental,3566.6,3776.4,1486.08,1573.5,1862.27,775.95,16128.67,16967.87
Istanbul,EUR,November,90.0,Resort,Leisure,Family Traveler,"adventure, family",4,15994.0,14394.6,177.71,159.94,Car Rental,4184.0,3765.6,46.49,41.84,5604.38,62.27,25782.38,23764.58
Sydney,AUD,December,55.0,Resort,Adventure,Business Traveler,"adventure, family",12,14868.0,11151.0,270.33,202.75,Car Rental,13214.4,9910.8,240.26,180.2,1961.98,35.67,30044.38,23023.78
Paris,EUR,October,90.0,Airbnb,Leisure,Business Traveler,"cultural, romantic",11,16457.0,14811.3,182.86,164.57,Car Rental,12076.0,10868.4,134.18,120.76,5171.15,57.46,33704.15,30850.85
London,GBP,February,105.0,Hostel,Business,Family Traveler,"solo, adventure",7,16607.3,17584.2,158.16,167.47,Bus,4799.95,5082.3,45.71,48.4,3437.51,32.74,24844.76,26104.01
Bangkok,THB,August,2.4,Hostel,Pilgrimage,Business Traveler,"family, solo, adventure",10,10223.0,9200.7,4259.58,3833.63,Bus,9322.0,8389.8,3884.17,3495.75,4686.89,1952.87,24231.89,22277.39
Rome,EUR,June,90.0,Resort,Adventure,Family Traveler,cultural,15,17479.2,13109.4,194.21,145.66,Bus,17820.0,13365.0,198.0,148.5,1708.95,18.99,37008.14999999999,28183.35
Istanbul,EUR,October,90.0,Hotel,Leisure,Family Traveler,solo,14,19624.0,17661.6,218.04,196.24,Bus,5119.0,4607.1,56.88,51.19,1911.52,21.24,26654.52,24180.22
Bangkok,THB,May,2.4,Airbnb,Business,Backpacker,"romantic, cultural, solo",10,16189.2,12141.9,6745.5,5059.12,Flight,16336.8,12252.6,6807.0,5105.25,1823.93,759.97,34349.93,26218.43
New York,USD,May,83.0,Hostel,Business,Business Traveler,family,5,9669.6,7252.2,116.5,87.38,Train,7509.6,5632.2,90.48,67.86,4660.82,56.15,21840.02,17545.22
Manali,INR,July,1.0,Hotel,Business,Luxury Traveler,"romantic, adventure, family",8,13017.0,11715.3,13017.0,11715.3,Car Rental,5378.0,4840.2,5378.0,4840.2,2856.41,2856.41,21251.41,19411.91
Cape Town,ZAR,March,4.5,Hostel,Business,Family Traveler,"romantic, adventure",3,5933.0,5339.7,1318.44,1186.6,Car Rental,11238.0,10114.2,2497.33,2247.6,4325.82,961.29,21496.82,19779.72
Rome,EUR,July,90.0,Resort,Leisure,Family Traveler,"cultural, family, adventure",10,10111.0,9099.9,112.34,101.11,Car Rental,2276.0,2048.4,25.29,22.76,5764.42,64.05,18151.42,16912.72
Istanbul,EUR,November,90.0,Airbnb,Leisure,Budget Traveler,romantic,8,18337.0,16503.3,203.74,183.37,Bus,9745.0,8770.5,108.28,97.45,8294.77,92.16,36376.77,33568.57
Rome,EUR,December,90.0,Hostel,Business,Budget Traveler,"solo, cultural, family",5,7923.6,5942.7,88.04,66.03,Train,13608.0,10206.0,151.2,113.4,4654.52,51.72,26186.12,20803.22
Singapore,SGD,June,62.0,Airbnb,Leisure,Business Traveler,solo,5,8208.0,6156.0,132.39,99.29,Bus,10620.0,7965.0,171.29,128.47,5071.44,81.8,23899.44,19192.44
Dubai,AED,July,22.5,Airbnb,Leisure,Luxury Traveler,"cultural, adventure, solo",10,18379.0,16541.1,816.84,735.16,Bus,3483.0,3134.7,154.8,139.32,1536.0,68.27,23398.0,21211.8
Sydney,AUD,August,55.0,Hotel,Business,Business Traveler,"romantic, family",11,3123.0,2810.7,56.78,51.1,Bus,9790.0,8811.0,178.0,160.2,6243.48,113.52,19156.48,17865.18
Singapore,SGD,June,62.0,Hotel,Leisure,Family Traveler,"solo, adventure",11,21164.4,15873.3,341.36,256.02,Bus,4590.0,3442.5,74.03,55.52,4323.53,69.73,30077.93,23639.33
Paris,EUR,January,90.0,Hostel,Leisure,Luxury Traveler,"solo, romantic, family",10,13084.05,13853.7,145.38,153.93,Car Rental,9713.8,10285.2,107.93,114.28,4122.68,45.81,26920.53,28261.58
Rishikesh,INR,August,1.0,Airbnb,Adventure,Family Traveler,solo,10,19062.0,17155.8,19062.0,17155.8,Train,6965.0,6268.5,6965.0,6268.5,2877.26,2877.26,28904.26,26301.56
Kerala,INR,April,1.0,Airbnb,Leisure,Business Traveler,"family, solo, romantic",6,17503.0,15752.7,17503.0,15752.7,Train,3194.0,2874.6,3194.0,2874.6,4436.79,4436.79,25133.79,23064.09
Barcelona,EUR,September,90.0,Hostel,Pilgrimage,Business Traveler,"solo, adventure, family",6,8964.1,9491.4,99.6,105.46,Train,10792.45,11427.3,119.92,126.97,5599.38,62.22,25355.93,26518.08
Barcelona,EUR,June,90.0,Airbnb,Leisure,Backpacker,"romantic, adventure, solo",10,18669.6,14002.2,207.44,155.58,Bus,2702.4,2026.8,30.03,22.52,4252.56,47.25,25624.56,20281.56
Goa,INR,June,1.0,Airbnb,Leisure,Budget Traveler,"solo, family",5,19776.0,14832.0,19776.0,14832.0,Flight,11264.4,8448.3,11264.4,8448.3,6210.91,6210.91,37251.31,29491.21
Sydney,AUD,June,55.0,Hostel,Leisure,Business Traveler,"romantic, cultural, family",5,15192.0,11394.0,276.22,207.16,Flight,12192.0,9144.0,221.67,166.25,4396.52,79.94,31780.52,24934.52
Leh,INR,May,1.0,Hotel,Pilgrimage,Budget Traveler,"romantic, family",7,6888.0,5166.0,6888.0,5166.0,Car Rental,2121.6,1591.2,2121.6,1591.2,6874.8,6874.8,15884.4,13632.0
Goa,INR,September,1.0,Resort,Business,Budget Traveler,"romantic, adventure",13,5010.75,5305.5,5010.75,5305.5,Flight,7236.9,7662.6,7236.9,7662.6,7747.97,7747.97,19995.62,20716.07
Tokyo,JPY,January,0.55,Airbnb,Leisure,Budget Traveler,romantic,13,9372.95,9924.3,17041.73,18044.18,Bus,7408.6,7844.4,13470.18,14262.55,6250.05,11363.73,23031.6,24018.75
Sydney,AUD,October,55.0,Airbnb,Adventure,Family Traveler,"solo, adventure, family",10,6514.0,5862.6,118.44,106.59,Train,3631.0,3267.9,66.02,59.42,5544.42,100.81,15689.42,14674.92
Barcelona,EUR,November,90.0,Hostel,Adventure,Budget Traveler,"family, adventure, solo",13,13412.0,12070.8,149.02,134.12,Car Rental,13609.0,12248.1,151.21,136.09,7135.75,79.29,34156.75,31454.65
Istanbul,EUR,March,90.0,Hostel,Leisure,Budget Traveler,"solo, family",8,7398.0,6658.2,82.2,73.98,Bus,6487.0,5838.3,72.08,64.87,4187.45,46.53,18072.45,16683.95
Tokyo,JPY,November,0.55,Hostel,Leisure,Family Traveler,"adventure, cultural, romantic",13,8028.0,7225.2,14596.36,13136.73,Flight,5770.0,5193.0,10490.91,9441.82,3316.86,6030.65,17114.86,15735.06
Manali,INR,May,1.0,Hostel,Leisure,Backpacker,"cultural, adventure, family",14,16436.4,12327.3,16436.4,12327.3,Bus,5961.6,4471.2,5961.6,4471.2,5904.04,5904.04,28302.04,22702.54
Tokyo,JPY,January,0.55,Resort,Leisure,Family Traveler,"adventure, family, solo",10,12185.6,12902.4,22155.64,23458.91,Flight,2799.05,2963.7,5089.18,5388.55,6417.72,11668.58,21402.37,22283.82
Singapore,SGD,July,62.0,Hotel,Leisure,Luxury Traveler,"cultural, romantic, family",6,19475.0,17527.5,314.11,282.7,Train,10690.0,9621.0,172.42,155.18,1984.74,32.01,32149.74,29133.24
Dubai,AED,January,22.5,Resort,Leisure,Business Traveler,"family, romantic",8,4516.9,4782.6,200.75,212.56,Train,6580.7,6967.8,292.48,309.68,2920.46,129.8,14018.06,14670.86
